wallet,tx_count,deposit_count,borrow_count,repay_count,liquidation_count,total_amount,repay_to_borrow_ratio,credit_score
0x05c9db563db8e38cc2899297da41ce430b61a484,14265,0,0,0,0,12603477.979331274,0.0,1000.0
0x0034baeeb160a5f1032b6d124d3e87cc94d74e62,162,0,0,0,0,175677476.75031725,0.0,943.5918581097741
0x000f7f22bfc28d940d4b68e13213ab17cf107790,73,0,0,0,0,150210180.87849897,0.0,802.5078450290918
0x058b10cbe1872ad139b00326686ee8ccef274c58,522,0,0,0,0,32740114.287531,0.0,207.97018647757724
0x02491d37984764d39b99e4077649dcd349221a62,279,0,0,0,0,32589111.466677085,0.0,191.27266231319174
0x00c2e5aa91c2b6927a4e8533482c8217b450a6a1,156,0,0,0,0,29921744.367175017,0.0,169.05983252064462
0x02eca8cc78b7d30c1ac5e16988ed2c8a9da658d6,167,0,0,0,0,27576169.45089738,0.0,157.32153781937143
0x0298b2ecdef68bc139b098461217a5b3161b69c8,1227,0,0,0,0,1617.67289323827,0.0,80.20572303656908
0x0476f3ee277eb20568ee2369b337f3ce55bc558a,763,0,0,0,0,5334754.227048881,0.0,78.1792078150998
0x04d9f6ecd792e48a09fa5dc2138baed8e628a7e5,1089,0,0,0,0,28247.794719035883,0.0,71.32007796252884
